worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
32695853,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,cruz,11.8,1,0,0.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,sanders,14.1,1,1,0.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,sanders,8.0,0,0,0.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,clinton,7.5,0,2,1.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,trump,11.7,1,-2,0.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,cruz,7.9,0,-1,1.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,trump,5.8,0,0,-1.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,clinton,14.2,1,0,1.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,0,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,0,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,1,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,2.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,0,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,0,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,-1,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,cruz,11.8,1,1,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,sanders,8.0,0,1,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,clinton,7.5,0,2,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,trump,11.7,1,1,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,cruz,7.9,0,1,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
