,worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust,match
177,36939273,male,18-29,republican,trump,TX,the Associated Press,sanders,14.1,1,0,2.0,-1
178,36939273,male,18-29,republican,trump,TX,the Associated Press,sanders,8.0,0,1,2.0,-1
179,36939273,male,18-29,republican,trump,TX,the Associated Press,clinton,7.5,0,1,1.0,-1
180,36939273,male,18-29,republican,trump,TX,the Associated Press,trump,11.7,1,1,2.0,-1
181,36939273,male,18-29,republican,trump,TX,the Associated Press,cruz,7.9,0,0,0.0,-1
182,36939273,male,18-29,republican,trump,TX,the Associated Press,trump,5.8,0,1,1.0,-1
183,36939273,male,18-29,republican,trump,TX,the Associated Press,clinton,14.2,1,1,1.0,-1
184,6579519,female,30-49,democrat,clinton,OH,the Associated Press,cruz,11.8,1,1,1.0,-1
185,6579519,female,30-49,democrat,clinton,OH,the Associated Press,sanders,14.1,1,1,1.0,-1
186,6579519,female,30-49,democrat,clinton,OH,the Associated Press,sanders,8.0,0,1,1.0,-1
187,6579519,female,30-49,democrat,clinton,OH,the Associated Press,clinton,7.5,0,1,1.0,-1
188,6579519,female,30-49,democrat,clinton,OH,the Associated Press,trump,11.7,1,1,1.0,-1
189,6579519,female,30-49,democrat,clinton,OH,the Associated Press,cruz,7.9,0,1,1.0,-1
190,6579519,female,30-49,democrat,clinton,OH,the Associated Press,trump,5.8,0,1,1.0,-1
191,6579519,female,30-49,democrat,clinton,OH,the Associated Press,clinton,14.2,1,1,1.0,-1
192,33018272,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1.0,-1
193,33018272,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,1.0,-1
194,33018272,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,0,1.0,-1
195,33018272,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1.0,-1
196,33018272,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,1.0,-1
197,33018272,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,1.0,-1
198,33018272,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0,-1
199,33018272,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,0,1.0,-1
200,30321275,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,2.0,-1
201,30321275,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0,-1
202,30321275,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,1,2.0,-1
203,30321275,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,2,1.0,-1
204,30321275,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,2.0,-1
205,30321275,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,2.0,-1
206,30321275,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,1,1.0,-1
207,30321275,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0,-1
208,32672123,male,30-49,democrat,clinton,CA,the Associated Press,cruz,11.8,1,1,2.0,-1
209,32672123,male,30-49,democrat,clinton,CA,the Associated Press,sanders,14.1,1,0,2.0,-1
210,32672123,male,30-49,democrat,clinton,CA,the Associated Press,sanders,8.0,0,0,0.0,-1
211,32672123,male,30-49,democrat,clinton,CA,the Associated Press,clinton,7.5,0,1,2.0,-1
212,32672123,male,30-49,democrat,clinton,CA,the Associated Press,trump,11.7,1,1,2.0,-1
213,32672123,male,30-49,democrat,clinton,CA,the Associated Press,cruz,7.9,0,1,0.0,-1
214,32672123,male,30-49,democrat,clinton,CA,the Associated Press,trump,5.8,0,1,2.0,-1
215,32672123,male,30-49,democrat,clinton,CA,the Associated Press,clinton,14.2,1,1,0.0,-1
216,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,cruz,11.8,1,1,1.0,-1
217,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,sanders,14.1,1,2,2.0,-1
218,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,sanders,8.0,0,1,1.0,-1
219,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,clinton,7.5,0,1,1.0,-1
220,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,trump,11.7,1,1,1.0,-1
221,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,cruz,7.9,0,1,1.0,-1
222,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,trump,5.8,0,1,2.0,-1
223,12009597,female,30-49,democrat,not_voting,VA,the Associated Press,clinton,14.2,1,1,2.0,-1
224,25501853,female,30-49,republican,trump,KY,the Associated Press,cruz,11.8,1,1,2.0,-1
225,25501853,female,30-49,republican,trump,KY,the Associated Press,sanders,14.1,1,1,2.0,-1
226,25501853,female,30-49,republican,trump,KY,the Associated Press,sanders,8.0,0,0,0.0,-1
227,25501853,female,30-49,republican,trump,KY,the Associated Press,clinton,7.5,0,2,1.0,-1
228,25501853,female,30-49,republican,trump,KY,the Associated Press,trump,11.7,1,-1,1.0,-1
229,25501853,female,30-49,republican,trump,KY,the Associated Press,cruz,7.9,0,0,1.0,-1
230,25501853,female,30-49,republican,trump,KY,the Associated Press,trump,5.8,0,1,2.0,-1
231,25501853,female,30-49,republican,trump,KY,the Associated Press,clinton,14.2,1,2,1.0,-1
232,31471893,male,18-29,democrat,sanders,NY,the Associated Press,cruz,11.8,1,0,0.0,-1
233,31471893,male,18-29,democrat,sanders,NY,the Associated Press,sanders,14.1,1,1,1.0,-1
234,31471893,male,18-29,democrat,sanders,NY,the Associated Press,sanders,8.0,0,2,2.0,-1
235,31471893,male,18-29,democrat,sanders,NY,the Associated Press,clinton,7.5,0,1,1.0,-1
236,31471893,male,18-29,democrat,sanders,NY,the Associated Press,trump,11.7,1,-1,0.0,-1
237,31471893,male,18-29,democrat,sanders,NY,the Associated Press,cruz,7.9,0,0,0.0,-1
238,31471893,male,18-29,democrat,sanders,NY,the Associated Press,trump,5.8,0,0,0.0,-1
239,31471893,male,18-29,democrat,sanders,NY,the Associated Press,clinton,14.2,1,1,1.0,-1
240,33866252,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,0,-1.0,-1
241,33866252,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0,-1
242,33866252,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,2.0,-1
243,33866252,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1.0,-1
244,33866252,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,-1,-1.0,-1
