worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
36979264,male,18-29,republican,trump,TX,&nbsp;,trump,11.7,1,-1,0
36979264,male,18-29,republican,trump,TX,&nbsp;,cruz,7.9,0,1,1.0
36979264,male,18-29,republican,trump,TX,&nbsp;,trump,5.8,0,-1,0.0
36979264,male,18-29,republican,trump,TX,&nbsp;,clinton,14.2,1,1,1
36858304,male,18-29,democrat,clinton,CA,&nbsp;,cruz,11.8,1,2,1
36858304,male,18-29,democrat,clinton,CA,&nbsp;,sanders,14.1,1,0,1
36858304,male,18-29,democrat,clinton,CA,&nbsp;,sanders,8,0,1,1
36858304,male,18-29,democrat,clinton,CA,&nbsp;,clinton,7.5,0,2,2
36858304,male,18-29,democrat,clinton,CA,&nbsp;,trump,11.7,1,-1,-1
36858304,male,18-29,democrat,clinton,CA,&nbsp;,cruz,7.9,0,-1,-1.0
36858304,male,18-29,democrat,clinton,CA,&nbsp;,trump,5.8,0,1,1.0
36858304,male,18-29,democrat,clinton,CA,&nbsp;,clinton,14.2,1,2,2
32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1
32695853,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,2,1
32695853,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8,0,2,1
32695853,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1
32695853,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,-1,1
32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1
34098234,male,18-29,democrat,sanders,UT,the Associated Press,cruz,11.8,1,0,0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,sanders,14.1,1,1,0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,sanders,8,0,0,0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,clinton,7.5,0,2,1
34098234,male,18-29,democrat,sanders,UT,the Associated Press,trump,11.7,1,-2,0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,cruz,7.9,0,-1,1.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,trump,5.8,0,0,-1.0
34098234,male,18-29,democrat,sanders,UT,the Associated Press,clinton,14.2,1,0,1
29363385,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,2
29363385,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2
29363385,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8,0,2,2
29363385,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,2
29363385,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,0,2
29363385,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,0,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,1,2.0
29363385,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,2
33435788,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,0,1
33435788,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,1
